"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Zach Wilson","NYJ","94.1","52.6","482.3","0.9","5.2","5.4","13.4","0.2","0.5","18.8"
"Nick Mullens","MIN","43.3","32.5","327.5","1.9","2.1","4.7","8.6","0.1","0.7","18.7"
"Easton Stick","LAC","64.6","37.8","347.3","1.6","3.6","15.2","20.8","0.2","0.7","18.6"
"C.J. Beathard","JAC","56.5","33.0","341.5","1.5","2.9","11.6","20.2","0.1","0.6","18.2"
"Jameis Winston","NO","35.5","23.9","300.3","1.5","1.6","4.0","10.1","0.2","0.2","18.1"
"Drew Lock","SEA","53.0","29.0","328.0","1.6","2.7","6.0","16.9","0.1","0.5","18.0"
"Hendon Hooker","DET","94.9","55.8","515.1","0.0","5.3","20.6","42.5","0.2","1.5","17.8"
"Tyson Bagent","CHI","47.8","29.1","300.4","1.3","2.5","8.6","23.4","0.2","0.6","16.8"
"Dorian Thompson-Robinson","CLE","49.0","29.9","305.8","1.1","1.8","8.1","24.2","0.1","0.6","16.8"
"Cooper Rush","DAL","36.2","22.7","273.2","1.5","1.2","2.9","6.6","0.1","0.2","16.5"
"Aidan O'Connell","LV","74.2","44.1","352.4","0.6","2.3","11.9","19.2","0.1","0.6","16.0"
"Malik Willis","TEN","71.6","41.2","340.0","0.6","3.6","15.4","21.3","0.1","0.7","13.8"
"Skylar Thompson","MIA","90.7","51.5","313.5","1.1","4.5","26.5","21.7","0.1","0.9","13.3"
"Kyle Allen","BUF","61.1","37.9","332.0","1.0","3.7","10.3","17.2","0.1","1.5","13.0"
"Jeff Driskel","ARI","68.8","40.2","366.8","0.0","5.0","18.4","37.1","0.2","1.4","11.8"
"P.J. Walker","CLE","126.7","55.7","325.1","0.7","5.8","21.2","26.0","0.0","0.5","11.6"
"Matt Barkley","BUF","38.6","23.5","172.4","0.9","0.9","3.1","4.7","0.1","0.2","10.3"
"Logan Woodside","ATL","0.0","0.0","182.4","0.7","1.1","0.0","1.4","0.3","0.2","10.1"
"Case Keenum","HOU","119.6","59.1","274.4","0.4","1.5","10.0","0.7","0.0","0.8","9.8"
"Jake Browning","CIN","18.0","12.0","127.0","1.0","0.0","1.0","3.0","0.0","0.0","9.4"
"Tanner McKee","PHI","31.6","18.8","186.6","0.5","2.0","9.6","14.3","0.1","0.5","8.8"
"Jaren Hall","MIN","20.0","13.0","80.7","0.5","0.1","1.0","1.8","0.0","0.0","5.6"
"Jake Haener","NO","16.0","9.9","101.2","0.5","1.7","10.9","14.9","0.1","0.5","5.5"
"Sam Ehlinger","IND","0.0","0.0","31.3","0.1","0.2","0.0","0.1","0.0","0.0","1.7"
"Mason Rudolph","PIT","0.0","0.0","15.7","0.1","0.1","0.0","0.0","0.0","0.0","0.8"
""
""
