"Player","Team","REC","YDS","TDS","FL","FPTS"
"Drew Sample","CIN","10.7","94.2","0.8","0.0","14.0"
"Lucas Krull","DEN","9.8","100.8","0.6","0.0","13.8"
"Quintin Morris","BUF","7.0","73.5","1.1","0.0","13.7"
"MyCole Pruitt","PIT","6.2","67.7","1.1","0.0","13.6"
"James Mitchell","DET","8.0","83.3","0.7","0.0","12.4"
"Ross Dwelley","ATL","6.0","83.8","0.7","0.0","12.3"
"Ben Sims","GB","6.5","56.5","1.1","0.0","12.2"
"Miller Forristall","LAR","7.5","78.5","0.6","0.0","11.6"
"Grant Calcaterra","PHI","7.4","76.6","0.6","0.0","11.4"
"Harrison Bryant","LV","7.7","76.4","0.6","0.0","11.4"
"Armani Rogers","PHI","6.5","76.4","0.6","0.0","11.1"
"Luke Farrell","JAC","7.4","74.9","0.6","0.0","10.8"
"Nick Vannett","TEN","6.3","69.9","0.6","0.0","10.5"
"Giovanni Ricci","CLE","7.3","72.7","0.5","0.1","10.4"
"Cole Turner","WAS","6.0","69.3","0.6","0.0","10.4"
"C.J. Uzomah","PHI","6.1","59.2","0.7","0.0","10.1"
"John Bates","WAS","8.1","76.9","0.4","0.0","10.1"
"Albert Okwuegbunam Jr.","PHI","6.4","62.5","0.6","0.0","9.8"
"Cole Fotheringham","LV","5.9","58.3","0.6","0.0","9.3"
"Hunter Long","LAR","5.4","55.3","0.6","0.0","9.0"
"Charlie Woerner","ATL","6.1","60.5","0.5","0.1","8.9"
"Lawrence Cager","NYG","7.6","66.1","0.4","0.0","8.7"
"Ko Kieft","TB","5.6","56.6","0.5","0.1","8.3"
"Charlie Kolar","BAL","5.2","57.8","0.4","0.0","8.1"
"John Stephens Jr.","DAL","4.0","41.0","0.3","0.0","6.1"
"Kenny Yeboah","NYJ","3.8","36.3","0.3","0.0","5.3"
"Josiah Deguara","JAC","4.6","43.8","0.1","0.0","5.1"
"Dalton Keene","HOU","2.0","21.2","0.2","0.0","3.1"
"Tre' McKitty","BUF","2.1","20.5","0.2","0.0","3.1"
"Shane Zylstra","DET","2.0","20.0","0.2","0.0","3.0"
